,Word,Title Frequency,Word Frequency,,Class
1020,mirror,2,27,1449,
1021,martin,2,69,871,
1022,avoid,2,166,403,
1023,soul,2,24,1515,
1024,lashes,2,1,2664,
1025,agree,2,120,551,
1026,mano,2,2,2541,
1027,tête,2,13,1872,
1028,shape,2,36,1258,
1029,obstacles,2,29,1397,
1030,independence,2,121,545,
1031,dreams,2,13,1872,
1032,hamburg,2,19,1673,
1033,hangover,2,2,2541,
1034,project,2,167,401,
1035,tate,2,0,2815,
1036,versailles,2,39,1214,
1037,moscovici,2,24,1515,
1038,simone,2,11,1946,
1039,veil,2,38,1230,
1040,seizes,2,0,2815,
1041,ethics,2,21,1602,
1042,hijack,2,3,2442,
1043,step,2,173,392,
1044,judge,2,68,882,
1045,élections,2,4,2365,
1046,dorian,2,2,2541,
1047,gray,2,10,2001,
1048,élysée,2,70,862,
1049,burkinis,2,15,1794,
1050,richard,2,58,973,
1051,ferrand,2,137,485,
1052,night,2,250,245,
1053,travail,2,21,1602,
1054,fired,2,47,1120,
1055,reacted,2,29,1397,
1056,reads,2,24,1515,
1057,learned,2,29,1397,
1058,cyber,2,13,1872,
1059,targets,2,41,1181,
1060,live,2,156,432,
1061,increases,2,20,1644,
1062,reject,2,32,1335,
1063,frexit,2,22,1561,
1064,headed,2,56,1002,
1065,leftists,2,26,1475,
1066,chamber,2,32,1335,
1067,supporting,2,58,973,
1068,unites,2,4,2365,
